study_programme_name,hogeschool,study_programme_type,study_programme_location,study_programme_language,study_programme_length,text
bouwkunde,Avans Hogeschool,B,"Den Bosch, Tilburg",Nederlands,4 jaar,"toekomstbestendig klimaat, energieverbruik, dichte bebouwing gebouwontwerpen herbestemmen bouwmethodieken besparen. biobased sloop, demontage hergebruik ontwikkelaars, ontwerpers, adviseurs, uitvoerende eindgebruikers. materiaalgebruik. architectonisch-, bouwtechnisch- theorielessen. Engels leuk? aansluiten. ontwerp? stagekeuze, (hoort afstuderen), project? lopen? meekijkt wel: bekwaamheid). onderzoek- begeleidt. Eindhoven. Academie Bouwkunst. architect. post-hbo-opleiding. constructeursopleiding."
bouwtechnische bedrijfskunde,Avans Hogeschool,B,Tilburg,Nederlands,4 jaar,"Bouwtechnische Tilburg klei vooruit. onderzoekend. Afwachten pakken. kritisch, positief. verantwoordelijkheidsgevoel budgetten herkent, Bouwtechnische motto 'Met klei'. organiseren. eentje, keren Naarmate bedrijfskunde. circulariteit. wisselt groepswerk. beroepsspecifieke vrijekeuzemodule. Avans Bouwtechnische Bouwtechnische"
chemie,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,"onderzoekend, moleculen. kunststoffen, meten. Proeven voedingsmiddelen meedenken milieuvriendelijke vindingrijk, secuur. Herken uitgerust Breda uitgebreidere polymeerontwikkeling Den Bosch bio-analytische sterker voren Breda Molecular Innovations, Forensic Chemistry Chemistry Health. Den Bosch Food Pharma, Forensic Chemistry Bioanalytical Chemistry. zelfstandiger. vrijekeuzeruimte. invullen af, bepaalt. Research, interessegebied. vullen. Research, atelier, chemiestudies, Drug Discovery RU Nijmegen Utrecht. Forensic Amsterdam. TU Eindhoven, Maastricht."
chemische technologie,Avans Hogeschool,B,Breda,Nederlands,4 jaar,"industriële grootschalige oplossingsgericht verzinnen procesindustrie. realiseren, Herken projectwerk. technoloog. formules warmte- stofoverdracht grootschalige scheidingsprocessen. uitgebreidere rekenmodellen ESSET (Milieukunde), Laboratoriumonderzoek. oriënterende bedrijfsstage vrijekeuzemodule. (Procesautomatisering Watertechnologie) anders. overeen Chemical Eindhoven University Biotechnology Wageningen University Research."
civiele techniek,Avans Hogeschool,B,"Den Bosch, Tilburg",Nederlands,4 jaar,"wegen- Wegen, tunnels, stations, dijken. bewondering schuilt achter. kleinste detail geheel. schuilt. herkent, 'de omgeving', 'een ontwerp', 'een uitvoeringsplan' 'klimaatadaptatie'. stammodules vrijekeuzemodules pad uitgestippelde altijd. wegen, project- stakeholdermanagement. projectopdrachten. voetgangersbrug veerkrachtige materiaal- Bouwtechnische bereikbaarheidsprobleem, wateroverlast aannemer, bouwproces: werktuigbouwkundestudenten beweegbare milieukundestudenten weg. resulteert TU Eindhoven. TU Delft Watermanagement. TU Twente Civil constructeursopleiding. universitair brancheverenigingen."
communication and multimedia design,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,"Communication Multimedia (CMD) hbo-ontwerpopleiding samenkomen. duizendpoot interesse. fascinatie mediavormgeving. techneut CMD detail, sterk. Communication Multimedia hetzelfde: vakinhoud, practice kletsen? studententelefoon: 06-84810992. Annelie studententelefoon. álles Communication Multimedia Breda. multimedia-opleiding Storytelling. CMD-studie 52 thematisch gevolgd. CMD-studie technology, video, web, mobiel, game, animatie geluid. multimedia-opleiding eindpresentatie. lesblokken bekwaamheid. CMD-opleiding. exposeer Bedrijfscommunicatie Tilburg University. Communication: networked Piet Zwart Rotterdam. Communications Critical Practice LCC Londen. Communication Twente. CMD Genk België. Erasmus Rotterdam."
elektrotechniek,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,"productierobots smartwatch zonnepanelen. hieraan bijdraagt. superbatterijen vliegtuigen. productierobots Things (IoT) verkrijgt efficiënter theorielessen, opdoen. -natuurkunde, datacommunicatie, besturingen, -natuurkunde, datacommunicatie, energiemanagement, AC- DC-netwerken aandrijf- procestechniek. Energy Industrial Automation. Avans Eindhoven. carrière."
informatica,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,"ICT-advies AI Security. IT-oplossingen. IT-opleiding abstract structureren, redeneren. af, ICT'ers klanten, alleen. Herken Breda Security, professionals, Cycle. oriënteert toepassingsmogelijkheden ICT-vakgebied. beveiligde AI-systeem, overstappen. webapplicaties, AI Security. Avans. specialisatierichtingen lijkt. Avans. beroepsprofessional. startbekwame ICT-professional profilering uitstroomprofiel. hbo-instelling Avans Keteninformatisering, Strategic Information ERP Topprogramma Eindhoven Tilburg University."
mechatronica,Avans Hogeschool,B,Breda,Nederlands,4 jaar,"productiemachines haalt bewegen nieuwsgierigheid anderen. nóg intelligentere herkent, themablokken practicumlessen beroepsgerichte verband vervolg. toekomstbeeld. collegejaar delen. ontwerpt. on-the-job differentiatie industriële automatisering/robotisering productdesign. collegejaar delen. Avans veerkrachtige wendbare hbo-instelling"
mens en techniek,Avans Hogeschool,B,Breda,Nederlands,4 jaar,"Gezondheidstechnologie VR, videoconsults, gamification apps. welzijn vaardig, bruist ideeën. Herken hierin, Gezondheidstechnologie Gezondheidszorgtechnologie gezondheidstechnoloog projectgroepen, Gezondheidstechnologie introweek projectgroep. praktijkvraagstuk. gamification, veranderkunde, wearables. zorgoplossing draait, patiënten. zorgorganisaties. interesse. zorgorganisaties patiëntbehoefte uitvragen. gezondheidstechnoloog. 'Innoveren welzijn'. onderbouwde project- onderzoeksaanpak, stageproject carrière gezondheidszorgtechnoloog. Gezondheidstechnologie hbo-masters, Avans. Health pre-masters Health Gezondheidswetenschappen. AI, Zorgmanagement Healthcare Policy, Innovation"
ruimtelijke ontwikkeling,Avans Hogeschool,B,Tilburg,Nederlands,4 jaar,"zakelijk. financiële aspecten, beseft sociaal-maatschappelijke uitdaging. bouwkundige, investeerder Herken Veerkrachtige Stad. stammodules stammodules route. persoon? vervullen later? regisseren kennismakingsmodule kennismaakt Bouwtechnische Bedrijfskunde, (blokken) Gebiedsontwikkeling, Vastgoedbeheer Vastgoed (bouwgerelateerde) Veerkrachtige stad, Driven Gebiedsbeheer. eindigt gemeente, vastgoedbedrijf, (stedenbouwkundig) ontwerpbureau, woningbouwcorporatie. vastgoedbeheer gebiedsontwikkeling, interesse. Avans, Bekwaamheid. Real Estate ASRE Amsterdam, Radboud Nijmegen, Rijks Groningen, TIAS Tilburg. Architecture, Building Planning. post-hbo Neprom. Nederlandse Vereniging Projectontwikkeling Maatschappijen."
technische bedrijfskunde,Avans Hogeschool,B,"Den Bosch, Tilburg",Nederlands,4 jaar,"dé procesverbeteraar Bedrijfskunde. sociaal, geïnteresseerd vindingrijk: puzzelaar. leuk. ideeën overbrengen bang Herken kenmerken? 'Running Changing Business'. klussen doorvoeren verandering? bedrijfsexcursies. vaktentamens. leveranciers concurrentie. datagedrevenheid. verbeterproject. productieproces, gegevens, vrijekeuzemodule. studieloopbaan innoveer digitaliseren. inkijk productiebedrijven. inspeelt. keteninnovatie studieloopbaan. vrijkeuzemodule. Avans ingewikkeld bedrijfsprobleem hierover. Operations TU/e, Tilburg, Nijmegen Erasmus Human Resource faculteit Wetenschappen."
technische informatica,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,"productierobots. interesseert gestructureerd. Herken kenmerken? groeit systeemontwikkeling. hard- games. 'proftaken' beroepsvaardigheden. IT-vraagstuk oriënteert aanpakken. PDA's, iPods televisie. simulatie, nabootsen omgevingen leeromgeving. reality. toepassingen, PDA's, iPods televisie. simulatie, 3D-applicaties reality. interfaces beeldbewerking. Things, aangestuurd. Reality, visualisaties realiteit virtuele Development; programmering ICT. interfaces beeldbewerking. differentiatie. Things Reality. afstudeerscriptie. Avans Eindhoven. carrière. HBO-TOP scheelt"
werktuigbouwkunde,Avans Hogeschool,B,"Breda, Den Bosch",Nederlands,4 jaar,"buig meedenken herkent. kleinschaligheid koppeling leerweg. energie-, constructie- introweek, elektrisch produceert oriënterende bereken hijsinrichting, theoriekennis designproces binnen– mentor rapportage stageopdracht. aanbevelingen doorvoert. differentiatie. differentiatie wederom constructie-, bedenkt, gereedschappen (pre-master). TU Eindhoven keuzemoduleperiode masterclass. Zuidoost-Brabant. topopleiding"
built environment,Avans Hogeschool,AD,Den Bosch,Nederlands,2 jaar,"Ad Built Environment erbij betrokken. samenhangen. posities built environment dragen. signaleren oplossen, traditionele Ad Built Environment gevarieerd. inhoud, vorm. thema's, specialisatie/keuzemodule kloppen. eveneens wijkontwerp. coachende onderwijs: gevoed Revit sterkteleer. onderwijsperiode karakter, gaat, diploma! maatwerkprogramma. bachelor-diploma Built Environment Utrecht jaar), Avans (2,5 Avans (2,5 jaar)."
engineering,Avans Hogeschool,AD,Den Bosch,Nederlands,2 jaar,"overkoepelend beleid. methodische (her)ontwerp overzichtelijk, beleidsmatige bachelorstudent verbindende factor. herontwerpen ontmantelen hergebruiken versnelling overkoepelende Ad’ers flexibel, toeleveranciers. duurzamer, Ad Ad-opleiding energiebranche consument. ‘engineering joy forever’. overzichtelijke, tweedaagse oriënterend onderwijsperiode Hieraan gekoppeld. divers, werktuigbouwkundig, competenties. Themaproject: Sociaal-maatschappelijke productinnovatie. (Materiaalkunde /productietechniek CAD 2D/3D). Electric circuits – netwerktheorie. Themaproject: (besturingstechniek, tekenen). Statica. Themaproject: realisatie. (programmeren CAM Machineonderdelen). Dynamica Engels luisteren. Themaproject: zorginnovatie. Meettechniek. Sterkteleer. Engels uitstroomrichtingen: vaktechniek tweedaagse Tweedaagse Dynamica Engels tweedaagse realisatie. Constructieleer. Engels 8. maatwerkprogramma."
informatica,Avans Hogeschool,AD,Den Bosch,Nederlands,2 jaar,"procesmatige softwaresystemen pcâ€™s georiÃ«nteerde omgevingen, Things datasecurity ontwikkelmethodieken progammeertechnieken software-ontwikkelteam. toelating. havisten werkervaring. Studiekeuzecheck. Avans Academie degrees studiekeuzescheck gesprek. inplannen Lees studiekeuzecheck. toets. Aob Compaz. georganiseerd. hoofdlijnen programmeeropdracht) ronden vooraf komt, toegelicht, herhaald beoefend tentamenweek 9 agile-scrum docententeam borgen. 4x vooraf Databasedriven Java-applicatie beperkte OOP-vorm, Buurtactiviteit. Databasedriven Java-applicatie OOP-vorm, Databasedriven Android-applicatie OOP-vorm, Innovatie. Encrypted databasedriven mobile/web-applicatie OOP-vorm. Informatica, Agile Scrum Zorg. Human Interfaces, Android, Arduino encryptie. 6: Databasedriven softwareapplicatie OOP-vorm, Agile Scrum landbouw, klimaatbeheersing domotica. softwareproject things technologieÃ«n sensor verzameld, opslaat, Nederland software-ontwikkelproject Nederland deelproducten voorbijkwamen ICT-werkomgeving. werkstage software-ontwikkelproces uitgevoerde verantwoorden, reflecteren. Avans doorstroommogelijkheden: Voltijd; Avans Breda/Den Bosch jaar); HZ University Applied Middelburg jaar); Deeltijd; Avans Breda/Den Bosch jaar)."
