study_programme_name,hogeschool,study_programme_type,study_programme_location,study_programme_language,study_programme_length,text
applied data science & artificial intelligence,Breda University of Applied Sciences,B,Breda,Engels,4 jaar,"Ben jij gefascineerd door nieuwe technologie en lijkt het jou leuk te gaan werken met AI en data? Goede keuze! Dit vakgebied is volop in ontwikkeling en biedt heel veel mogelijkheden voor innovatie, maar ook voor jou! Ontdek het in de opleiding Applied Data Science & Artificial Intelligence. Deze opleiding legt de basis voor een carriÃ¨re als Data Scientist, AI Engineer of Data Consultant. In al deze functies ben je bezig met het oplossen van problemen op basis van data-analyse en AI-technologieÃ«n. Denk aan betere diagnoses en behandelingen in de zorg, duurzame voedselproductie en slimmere energienetwerken. Je leert niet alleen data te analyseren, je leert vooral hoe je die kennis kunt gebruiken om de wereld een beetje mooier te maken."
tourism (joint degree),Breda University of Applied Sciences,B,Breda,Engels,4 jaar,"Wil jij weten wat de impact is van toerisme op onze samenleving, het milieu en de economie? Denk bijvoorbeeld aan al die duizenden toeristen die maandelijks de Machu Picchu in Peru beklimmen. Zij brengen veel welvaart met zich mee maar zijn ook belastend voor de lokale natuur en bevolking. Je studeert eerst twee jaar in Breda en daarna een jaar aan Wageningen University & Research. De BSc Tourism is uniek als enige wetenschappelijke bacheloropleiding in Nederland op het gebied van toerisme. Deze opleiding combineert economische, sociale en omgevingswetenschappen. Je werkt aan onderzoeksprojecten over duurzaamheid, klimaatverandering, globalisering en welzijn. Dit biedt je een breed perspectief en de kans om bij te dragen aan de toekomst van toerisme."
built environment,Breda University of Applied Sciences,B,Breda,Nederlands,4 jaar,"In een tijd waarin duurzaamheid en leefbaarheid steeds belangrijker worden, ligt de toekomst in jouw handen. De opleiding Built Environment biedt jou de kans om steden, dorpen en infrastructuur opnieuw vorm te geven. Leer hoe je stedelijke en landelijke gebieden kunt (her)ontwikkelen, duurzame mobiliteitsoplossingen kunt creÃ«ren en jouw plannen kan vertalen naar ruimtelijke ontwerpen. Ontwerp niet alleen de wereld om je heen, maar ook je eigen toekomst!"
creative media and game technologies,Breda University of Applied Sciences,B,Breda,Engels,4 jaar,"In de opleiding Creative Media and Game Technologies leer je de nieuwste technieken en vaardigheden om innovatieve games en media te ontwerpen en ontwikkelen. Je wordt klaargestoomd voor een carriÃ¨re in de dynamische wereld van triple-A games, waar je creatieve ideeÃ«n tot leven brengt. Onze game-opleiding behoort tot de top wereldwijd. Tijdens de opleiding werk je aan diverse projecten, zoals het ontwikkelen van video games en het creÃ«ren van visuele effecten voor films. Je kiest een van de vier studierichtingen: Programming, Visual Arts, Design & Production of Film Visual Effects. Door intensieve samenwerking met docenten en medestudenten bouw je een indrukwekkend portfolio op. Onze afgestudeerden vinden werk bij toonaangevende bedrijven zoals Guerrilla, Ubisoft en Ghost VFX."
logistics engineering,Breda University of Applied Sciences,B,Breda,"Nederlands, Engels",4 jaar,"Help jij mee om robots in te zetten bij de productie van elektrische autoâ€™s? Wil jij met data en AI de levering van smartphones optimaliseren? Bedenk je oplossingen voor veilige bezoekersstromen op vliegvelden en evenementen? Plannen, organiseren en slim gebruik van data en techniek hoort hier allemaal bij. Bij Logistics Engineering ga jij aan de slag met deze vragen. Je leert hoe je met ict en data-toepassingen ervoor kan zorgen dat mensen, goederen en diensten snel, veilig en duurzaam op het juiste moment, op de juiste plaats zijn. Ben jij enthousiast over technologie en innovaties, en wil je in Nederland of wereldwijd impact maken? Dan is Logistics Engineering misschien iets voor jou."
game technology,Breda University of Applied Sciences,M,Breda,Engels,1 jaar,"Werk jij in de game-industrie, bijvoorbeeld in game art, game design of game development, en wil je je verdiepen in game technology? Dan is de Master Game Technology iets voor jou. In deze eenjarige master werk je aan een eigen onderzoeksproject dat bijdraagt aan de ontwikkeling van (digital) game technology. Voordat je aan de master begint, schrijf je een projectvoorstel waarin je jouw onderzoeksideeÃ«n samenvat. Als 'game master' ben jij de projectleider, maar je staat er niet alleen voor. Je krijgt ondersteuning van een voorbeeldmodel en begeleiding van een ervaren mentor om je projectvoorstel uit te werken tot een volwaardig onderzoek."
hbo-ict,Christelijke Hogeschool Ede,B,Ede,Nederlands,4 jaar,"Een slimme app designen om voorraden bij te houden? De digitale beveiliging van een ziekenhuis verbeteren? Zorgen dat je medewerkers en klanten overal ter wereld veilig en snel bij jouw data kunnen komen? Ontdek de beste HBO ICT-opleiding van Nederland! Hier heeft je studie impact op jou Ã©n de ander. ICT heeft een groeiende impact op ons dagelijks leven. Marketing, logistiek of klantcontact; bedrijven, organisaties en overheden gebruiken ICT voor een steeds groter deel van hun processen. Zelf weet je waarschijnlijk niet beter dan dat je je muziek streamt, je vakantie online boekt en je bankzaken op je smartphone regelt. Logisch dat de vraag naar ICT-professionals nog altijd groeit. En als je straks van de CHE komt heb je helemaal een streepje voor. Bij ons groei je namelijk uit tot een verbinder tussen de bedrijfsprocessen, de techniek en de mensen. Je hebt niet alleen aandacht voor het doel en de technische mogelijkheden, maar ook voor de gebruiksvriendelijkheid, het ontwerp en waar de grenzen van privacy en veiligheid liggen. Je leert hoe je effectief en daadkrachtig samenwerkt aan de IT-oplossingen van morgen.  Dus zoek jij een opleiding op het snijvlak van mens, ICT en bedrijfskunde? Dan is HBO-ICT iets voor jou."
informatica,Fontys,B,Venlo,"Nederlands, Engels, Duits",4 jaar,"Heb je een passie voor ICT en heb je interesse in het oplossen van complexe problemen? Vind je het fijn om samen te werken in een team en ben je een doorzetter? Dan is de opleiding Informatica in Venlo iets voor jou. Jij ziet kansen in de zinvolle toepassing van technologie en kan een brug slaan tussen makers en uiteindelijke gebruikers van ICT-oplossingen. Wij leiden je op tot een breed inzetbare ICT'er. De praktijk staat voorop. Omdat je veel gaat samenwerken met mensen, besteden we ook veel aandacht aan de ontwikkeling van je sociaal communicatieve vaardigheden. Een goede kennis van informatiesystemen is onmisbaar maar je leert ook adviseren en organiseren. Vaak doe je dit in projectvorm samen met andere studenten, praktijkgericht en met begeleiding van docenten en je studieloopbaanbegeleider."
technische natuurkunde,Fontys,B,Eindhoven,Nederlands,4 jaar,"Verbeter je smartphone, ontwerp slim textiel of optimaliseer rÃ¶ntgenapparatuur. De hbo-opleiding Technische Natuurkunde leert je natuurkunde begrijpen Ã©n toepassen. Ontwikkel oplossingen en optimaliseer processen, van gezondheid en duurzaamheid tot voertuigen en geluidsveiligheid."
applied science,Fontys,B,Eindhoven,Nederlands,4 jaar,"Zet ideeÃ«n om in innovaties met de hbo-opleiding Applied Science. Duik in de wereld van chemie, biologie en technologie om slimme oplossingen te ontwikkelen, baanbrekend onderzoek te doen en theorie tot leven te brengen. Bouw mee aan een duurzame toekomst."
automotive,Fontys,B,Eindhoven,Nederlands,4 jaar,"Ben jij gek van autoâ€™s en techniek? Wil je het maximale aantal pkâ€™s uit een auto halen, met zo min mogelijk brandstofverbruik? Wil je een rol spelen in de ontwikkeling van innovatieve, elektrische voertuigen? Deel uitmaken van het team bij grote motor- of autoraces? Dan is Automotive de opleiding iets voor jou! De technische ontwikkelingen gaan -zeker op het gebied van mobiliteit- razendsnel. Dat betekent dat je als automotive engineer creatief inzicht moet hebben en snel moet kunnen schakelen. De opleiding Automotive leert je voertuigen te ontwerpen, maken en testen, in een snel veranderende en veeleisende wereld. Wij maken van jou een specialist die grenzen durft op te zoeken. Tijdens je studie train je je technische vaardigheden en leer je hoe uitdagende ontwikkel- en onderzoeksprojecten leiden tot innovatieve producten en oplossingen."
elektrotechniek,Fontys,B,Eindhoven,"Nederlands, Engels",4 jaar,"Ben je nieuwsgierig naar hoe een product of apparaat precies werkt? Zou je zelf vernieuwende producten willen bedenken en maken? Heb je een passie voor techniek en ben je goed in het bedenken van dingen? Stap dan in de wereld van Elektrotechniek en lever jouw bijdrage aan het ontwerpteam van de toekomst. Je wordt opgeleid tot ontwerper in elektrotechniek. Als elektrotechnisch ingenieur lever je een bijdrage aan een gemakkelijker en aangenamer leven. Op vele vlakken; sport, muziek, telecommunicatie, industrie, gezondheidszorg, energie of verkeersveiligheid. Kies een richting die bij jou past. Door veel persoonlijke begeleiding en praktijkopdrachten, sta jij na 4 jaar aan het begin van een succesvolle carriÃ¨re."
werktuigbouwkunde,Fontys,B,"Eindhoven, Venlo","Nederlands, Engels",4 jaar,"Wil jij nieuwe producten bedenken, machines verbeteren en (3D-) ontwerpen maken? Heb je een passie voor techniek, ben je nieuwsgierig, vindingrijk en nauwkeurig? Dan is Werktuigbouwkunde iets voor jou! Als werktuigbouwkundige denk jij mee over de techniek van de toekomst. We leiden je op tot een breed inzetbare engineer. Je bedenkt hoe je machines en productieprocessen veiliger of gebruiksvriendelijker maakt, je vernieuwt Ã©n je ontwerpt ze. Een werktuigbouwkundige weet alles over materialen en hoe je deze zo goed mogelijk kunt inzetten."
