study_programme_name,hogeschool,study_programme_type,study_programme_location,study_programme_language,study_programme_length,text
werktuigbouwkunde,Hanzehogeschool Groningen,B,Groningen,"Nederlands, Engels",4 jaar,Rijksuniversiteit
european master in renewable energy,Hanzehogeschool Groningen,M,Groningen,Engels,1.5 jaar,Science-graad
sociaal-ruimtelijk transitiemanagement,Hanzehogeschool Groningen,M,Groningen,Nederlands,2 jaar,
smart systems engineering,Hanzehogeschool Groningen,M,Groningen,Engels,1.5 jaar,TechHub WE-faciliteiten
master digitale technologie,Hanzehogeschool Groningen,M,Groningen,Nederlands,1.5 jaar,CoL-
data science for life sciences,Hanzehogeschool Groningen,M,Groningen,Engels,2 jaar,Imaging TOEFL-score
energy for society,Hanzehogeschool Groningen,M,Groningen,Engels,1.5 jaar,
mechatronica in de smart industry,Hanzehogeschool Groningen,AD,Groningen,Nederlands,2 jaar,Meten
projectleider techniek,Hanzehogeschool Groningen,AD,Groningen,Nederlands,2 jaar,
systeemspecialist automotive,Hanzehogeschool Groningen,AD,Groningen,Nederlands,2 jaar,
communication and multimedia design,HAN University of Applied Sciences,B,Arnhem,Nederlands,4 jaar,
technische bedrijfskunde,HAN University of Applied Sciences,B,Arnhem,Nederlands,4 jaar,Hbo/universiteit Organisatieontwikkeling Organisatieontwikkeling
industrieel product ontwerpen,HAN University of Applied Sciences,B,Arnhem,Nederlands,4 jaar,Velings
hbo-ict,HAN University of Applied Sciences,B,"Arnhem, Nijmegen",Nederlands,4 jaar,ICT-oplossingen ICT'er ICT'er ICT'er Netwerkinfrastructuur
embedded systems engineering,HAN University of Applied Sciences,B,Arnhem,"Nederlands, Engels",4 jaar,EM-profiel Hbo/universiteit
automotive,HAN University of Applied Sciences,B,Arnhem,Nederlands,4 jaar,Hbo/universiteit Automotive-werkgevers Automotive-studenten Volkswagen
elektrotechniek,HAN University of Applied Sciences,B,Arnhem,Nederlands,4 jaar,Hbo/universiteit Servo-regelingen Alliander Alliander
civiele techniek,HAN University of Applied Sciences,B,Arnhem,Nederlands,4 jaar,E+M E+M Middenkaderfunctionaris
chemie,HAN University of Applied Sciences,B,Nijmegen,"Nederlands, Engels",4 jaar,Aantonen B2-niveau
bouwkunde,HAN University of Applied Sciences,B,Arnhem,Nederlands,4 jaar,Bouwkunde-opleiding
biologie en medisch laboratoriumonderzoek,HAN University of Applied Sciences,B,Nijmegen,Nederlands,4 jaar,N&G Koning Plantenbiologie Plantenbiologie Plantenbiologie
bio-informatica,HAN University of Applied Sciences,B,Nijmegen,Nederlands,4 jaar,Oud-student DNA-onderzoek HAN-masteropleiding
